Index,Score,Rolling avg score
1,0.000,0.000
2,0.000,0.000
3,0.000,0.000
4,0.000,0.000
5,0.000,0.000
6,0.000,0.000
7,0.000,0.000
8,0.000,0.000
9,0.100,0.011
10,0.000,0.010
11,0.000,0.009
12,0.000,0.008
13,0.000,0.008
14,0.000,0.007
15,0.000,0.007
16,0.000,0.006
17,0.000,0.006
18,0.000,0.006
19,0.000,0.005
20,0.000,0.005
21,0.000,0.005
22,0.000,0.005
23,0.000,0.004
24,0.000,0.004
25,0.000,0.004
26,0.000,0.004
27,0.000,0.004
28,0.000,0.004
29,0.000,0.003
30,0.000,0.003
31,0.000,0.003
32,0.000,0.003
33,0.000,0.003
34,0.000,0.003
35,0.000,0.003
36,0.000,0.003
37,0.000,0.003
38,0.000,0.003
39,0.000,0.003
40,0.000,0.003
41,0.000,0.002
42,0.000,0.002
43,0.000,0.002
44,0.000,0.002
45,0.000,0.002
46,0.000,0.002
47,0.000,0.002
48,0.000,0.002
49,0.000,0.002
50,0.000,0.002
51,0.000,0.002
52,0.000,0.002
53,0.000,0.002
54,0.000,0.002
55,0.000,0.002
56,0.000,0.002
57,0.000,0.002
58,0.000,0.002
59,0.000,0.002
60,0.000,0.002
61,0.000,0.002
62,0.000,0.002
63,0.000,0.002
64,0.000,0.002
65,0.000,0.002
66,0.000,0.002
67,0.000,0.001
68,0.000,0.001
69,0.000,0.001
70,0.000,0.001
71,0.000,0.001
72,0.000,0.001
73,0.000,0.001
74,0.000,0.001
75,0.000,0.001
76,0.000,0.001
77,0.000,0.001
78,0.000,0.001
79,0.000,0.001
80,0.000,0.001
81,0.000,0.001
82,0.000,0.001
83,0.000,0.001
84,0.000,0.001
85,0.000,0.001
86,0.000,0.001
87,0.000,0.001
88,0.000,0.001
89,0.000,0.001
90,0.000,0.001
91,0.000,0.001
92,0.000,0.001
93,0.000,0.001
94,0.000,0.001
95,0.100,0.002
96,0.000,0.002
97,0.090,0.003
98,0.000,0.003
99,0.090,0.004
100,0.000,0.004
101,0.000,0.004
102,0.000,0.004
103,0.000,0.004
104,0.100,0.005
105,0.100,0.006
106,0.000,0.006
107,0.000,0.006
108,0.000,0.006
109,0.000,0.005
110,0.000,0.005
111,0.200,0.007
112,0.000,0.007
113,0.000,0.007
114,0.000,0.007
115,0.000,0.007
116,0.000,0.007
117,0.000,0.007
