Index,Score,Rolling avg score
319,20.590,13.182
320,16.890,13.300
321,21.850,13.463
322,26.220,13.611
323,19.720,13.755
324,27.460,13.984
325,12.620,14.000
326,12.750,14.060
327,21.120,14.226
328,19.220,14.382
329,14.390,14.500
330,17.030,14.656
331,23.820,14.875
332,19.340,14.913
333,14.250,14.875
334,23.360,14.993
335,22.980,15.075
336,25.390,15.271
337,22.530,15.482
338,22.280,15.572
339,30.050,15.738
340,29.340,15.969
341,17.790,16.068
342,18.610,16.156
343,18.020,16.161
344,25.730,16.359
345,21.000,16.490
346,24.340,16.566
347,14.850,16.528
348,17.630,16.624
349,14.050,16.575
350,19.850,16.571
351,24.130,16.724
352,24.430,16.701
353,17.800,16.827
354,33.790,16.919
355,25.280,17.029
356,26.590,17.215
357,18.670,17.194
358,25.290,17.351
359,26.500,17.547
360,24.340,17.685
361,15.910,17.737
362,28.420,17.955
363,27.580,18.085
364,29.590,18.283
365,26.500,18.450
366,22.490,18.582
367,29.390,18.772
368,27.490,18.959
369,23.930,19.048
370,27.360,19.216
371,24.200,19.402
372,18.130,19.432
373,24.680,19.518
374,19.520,19.579
375,15.690,19.604
376,29.020,19.753
377,30.860,19.986
378,27.690,20.179
379,24.490,20.239
380,23.090,20.250
381,32.300,20.403
382,31.510,20.435
383,29.740,20.667
384,18.710,20.661
385,33.700,20.878
386,32.670,21.061
387,17.940,21.168
388,14.150,21.208
389,11.420,21.220
390,33.350,21.330
391,16.040,21.373
392,34.550,21.544
393,10.880,21.488
394,31.360,21.655
395,22.890,21.784
396,17.480,21.827
397,14.500,21.895
398,16.650,21.948
399,13.710,21.991
400,32.990,22.148
401,25.270,22.291
402,25.120,22.321
403,32.140,22.464
404,14.980,22.460
405,32.560,22.607
406,18.800,22.571
407,21.960,22.560
408,19.590,22.608
409,32.000,22.647
410,30.750,22.822
411,18.280,22.811
412,31.330,22.873
413,31.310,23.002
414,31.270,23.071
415,31.090,23.214
416,33.400,23.357
417,31.360,23.435
418,13.730,23.394
419,23.090,23.419
420,33.150,23.582
421,33.500,23.698
422,21.790,23.654
423,16.540,23.622
424,37.650,23.724
425,19.290,23.791
426,14.040,23.803
427,31.170,23.904
428,33.790,24.050
429,23.150,24.137
430,31.010,24.277
431,30.920,24.348
432,31.230,24.467
433,22.980,24.554
434,29.590,24.617
435,29.970,24.686
436,25.210,24.685
437,30.930,24.769
438,16.370,24.710
439,29.670,24.706
440,31.410,24.726
441,17.370,24.722
442,29.330,24.829
443,29.760,24.947
444,16.310,24.853
445,26.010,24.903
446,31.630,24.976
447,32.440,25.152
448,23.470,25.210
449,32.350,25.393
450,27.330,25.468
451,20.160,25.428
452,25.750,25.441
453,28.920,25.552
454,25.560,25.470
455,20.760,25.425
456,25.780,25.417
457,22.850,25.459
458,35.640,25.562
459,16.380,25.461
460,16.870,25.386
461,31.490,25.542
462,32.080,25.579
463,19.510,25.498
464,29.980,25.502
465,25.100,25.488
466,15.050,25.413
467,29.140,25.411
468,25.590,25.392
469,28.360,25.436
470,30.450,25.467
471,20.560,25.431
472,23.860,25.488
473,30.150,25.543
474,23.910,25.587
475,15.960,25.589
476,34.450,25.644
477,29.130,25.626
478,25.090,25.600
479,19.100,25.546
480,24.690,25.562
481,28.190,25.521
482,30.980,25.516
483,21.270,25.431
484,22.620,25.470
485,23.590,25.369
486,25.300,25.296
487,28.480,25.401
488,23.790,25.497
489,21.700,25.600
490,18.220,25.449
491,31.050,25.599
492,31.970,25.573
493,18.410,25.649
494,16.170,25.497
495,30.250,25.570
496,22.340,25.619
497,31.170,25.786
498,36.380,25.983
499,24.720,26.093
500,32.170,26.085
501,14.280,25.975
502,31.670,26.040
503,30.270,26.022
504,18.300,26.055
505,27.650,26.006
506,16.910,25.987
507,32.570,26.093
508,33.920,26.236
509,35.990,26.276
510,18.780,26.156
511,34.030,26.314
512,36.740,26.368
513,17.230,26.227
514,18.160,26.096
515,34.220,26.127
516,18.840,25.982
517,25.390,25.922
518,20.140,25.986
519,24.780,26.003
520,22.920,25.901
521,23.590,25.802
522,34.730,25.931
523,34.320,26.109
524,33.480,26.067
525,32.100,26.195
526,17.870,26.234
527,36.530,26.287
528,30.210,26.251
529,28.230,26.302
530,30.720,26.299
531,31.650,26.307
532,38.400,26.378
533,30.880,26.457
534,28.870,26.450
535,31.200,26.462
536,37.780,26.588
537,27.140,26.550
538,20.340,26.590
539,36.110,26.654
540,28.130,26.622
541,15.250,26.600
542,30.520,26.612
543,35.360,26.668
544,16.940,26.675
545,37.210,26.787
546,22.570,26.696
547,36.510,26.737
548,27.140,26.773
549,21.150,26.661
550,19.110,26.579
551,24.960,26.627
552,38.970,26.759
553,30.620,26.776
554,15.570,26.676
555,17.050,26.639
556,35.400,26.736
557,19.120,26.698
558,25.260,26.594
559,28.930,26.720
560,25.890,26.810
561,23.430,26.730
562,28.770,26.696
563,30.260,26.804
564,33.390,26.838
565,27.650,26.864
566,22.540,26.938
567,35.770,27.005
568,35.570,27.105
569,26.580,27.087
570,34.670,27.129
571,37.480,27.298
572,29.880,27.358
573,35.390,27.411
574,28.840,27.460
575,38.260,27.683
576,18.480,27.523
577,37.270,27.605
578,38.030,27.734
579,33.960,27.883
580,21.280,27.849
581,36.620,27.933
582,35.790,27.981
583,36.530,28.134
584,12.420,28.032
585,33.100,28.127
586,26.430,28.138
587,19.310,28.046
588,16.610,27.975
589,36.500,28.123
590,25.770,28.198
591,29.320,28.181
592,38.310,28.244
593,30.870,28.369
594,30.220,28.509
595,38.700,28.594
596,16.110,28.531
597,38.590,28.606
598,20.710,28.449
599,20.800,28.410
600,37.920,28.467
601,38.730,28.712
602,27.330,28.668
603,38.460,28.750
604,29.800,28.865
605,37.320,28.962
606,34.870,29.142
607,28.320,29.099
608,34.960,29.109
609,33.440,29.084
610,22.760,29.124
611,21.700,29.000
612,25.230,28.885
613,28.340,28.996
614,26.040,29.075
615,28.410,29.017
616,36.240,29.191
617,34.550,29.283
618,32.560,29.407
619,24.380,29.403
620,38.270,29.556
621,39.170,29.712
622,38.910,29.754
623,23.820,29.649
624,37.870,29.693
625,31.040,29.682
626,24.470,29.748
627,38.390,29.767
628,38.060,29.845
629,20.610,29.769
630,26.510,29.727
631,38.930,29.800
632,38.170,29.798
633,22.760,29.716
634,29.980,29.728
635,25.590,29.671
636,24.320,29.537
637,30.290,29.568
638,30.960,29.675
639,35.980,29.673
640,32.770,29.720
641,31.740,29.885
642,31.670,29.896
643,34.940,29.892
644,33.830,30.061
645,36.070,30.049
646,37.610,30.200
647,38.480,30.219
648,38.970,30.338
649,33.910,30.465
650,38.990,30.664
651,39.280,30.807
652,38.820,30.806
653,39.020,30.890
654,39.390,31.128
655,33.000,31.288
656,38.800,31.322
657,37.460,31.505
658,38.800,31.640
659,39.340,31.744
660,38.180,31.867
661,35.540,31.988
662,38.930,32.090
663,36.860,32.156
664,38.250,32.205
665,36.530,32.293
666,39.050,32.459
667,38.640,32.487
668,38.290,32.514
669,39.120,32.640
670,38.040,32.674
671,39.620,32.695
672,38.600,32.782
673,39.480,32.823
674,30.970,32.844
675,31.860,32.780
676,38.690,32.982
677,38.750,32.997
678,38.840,33.005
679,35.970,33.025
680,36.900,33.182
681,33.960,33.155
682,32.030,33.117
683,35.910,33.111
684,37.400,33.361
685,38.790,33.418
686,27.920,33.433
687,37.890,33.619
688,36.580,33.818
689,38.860,33.842
690,35.740,33.942
691,38.210,34.031
692,39.580,34.043
693,38.390,34.118
694,39.140,34.208
695,30.740,34.128
696,38.730,34.354
697,36.510,34.333
698,32.660,34.453
699,39.020,34.635
700,34.550,34.601
701,38.560,34.600
702,37.990,34.706
703,38.420,34.706
704,39.500,34.803
705,38.160,34.811
706,35.260,34.815
707,38.520,34.917
708,37.480,34.942
709,39.550,35.004
710,31.720,35.093
711,37.770,35.254
712,34.460,35.346
713,35.980,35.423
714,38.790,35.550
715,37.740,35.643
716,39.230,35.673
717,39.550,35.723
718,35.050,35.748
719,32.400,35.828
720,27.610,35.722
721,38.240,35.712
722,35.790,35.681
723,37.010,35.813
724,39.350,35.828
725,34.880,35.866
726,37.950,36.001
727,38.940,36.007
728,39.540,36.021
729,36.030,36.176
730,34.670,36.257
731,35.660,36.225
732,31.940,36.162
733,35.630,36.291
734,37.090,36.362
735,36.700,36.473
736,34.850,36.578
737,35.650,36.632
738,37.540,36.698
739,35.290,36.691
740,37.540,36.739
741,37.780,36.799
742,37.650,36.859
743,39.060,36.900
744,36.350,36.925
745,38.690,36.951
746,36.970,36.945
747,37.820,36.938
748,37.970,36.928
749,39.630,36.986
750,38.260,36.978
751,38.430,36.970
752,36.950,36.951
753,37.150,36.932
754,35.640,36.895
755,32.630,36.891
756,32.340,36.827
757,36.540,36.817
758,34.660,36.776
759,34.460,36.727
760,38.640,36.732
761,39.350,36.770
762,39.060,36.771
763,35.890,36.762
764,29.520,36.674
765,38.380,36.693
766,24.790,36.550
767,39.370,36.557
768,26.560,36.440
769,32.050,36.369
770,38.230,36.371
771,38.290,36.358
772,35.830,36.330
773,38.600,36.322
774,35.840,36.370
775,36.210,36.414
776,36.540,36.392
777,35.800,36.363
778,35.240,36.327
779,33.070,36.298
780,30.720,36.236
781,34.060,36.237
782,32.010,36.237
783,35.810,36.236
784,33.190,36.194
785,32.250,36.128
786,37.170,36.221
787,38.890,36.231
788,39.050,36.255
789,30.940,36.176
790,39.300,36.212
